timestamp,event_type,cycle_id,data,metadata
1755192505.3782392,T1_image,cycle_1_1755192505378,640x480,
1755192505.380105,T1_image,cycle_2_1755192505380,640x480,
1755192505.3836896,T1_image,cycle_3_1755192505383,640x480,
1755192505.3846984,T1_image,cycle_4_1755192505384,640x480,
1755192505.4101617,T1_image,cycle_5_1755192505410,640x480,
1755192505.4500315,T1_image,cycle_6_1755192505450,640x480,
1755192505.4775357,T1_image,cycle_7_1755192505477,640x480,
1755192505.5108626,T1_image,cycle_8_1755192505510,640x480,
1755192505.544204,T1_image,cycle_9_1755192505544,640x480,
1755192505.577673,T1_image,cycle_10_1755192505577,640x480,
1755192505.6109204,T1_image,cycle_11_1755192505610,640x480,
1755192505.64449,T1_image,cycle_12_1755192505644,640x480,
1755192505.6775992,T1_image,cycle_13_1755192505677,640x480,
1755192505.711066,T1_image,cycle_14_1755192505711,640x480,
1755192505.7447758,T1_image,cycle_15_1755192505744,640x480,
1755192505.778101,T1_image,cycle_16_1755192505778,640x480,
1755192505.8110304,T1_image,cycle_17_1755192505811,640x480,
1755192505.845347,T1_image,cycle_18_1755192505845,640x480,
1755192505.8778832,T1_image,cycle_19_1755192505877,640x480,
1755192505.8963547,T3_finger_count_debug,cycle_19_1755192505877,detected_from_topic,
1755192505.911824,T1_image,cycle_20_1755192505911,640x480,
1755192505.9458463,T1_image,cycle_21_1755192505945,640x480,
1755192505.9784353,T1_image,cycle_22_1755192505978,640x480,
1755192506.0119305,T1_image,cycle_23_1755192506011,640x480,
1755192506.0457518,T1_image,cycle_24_1755192506045,640x480,
1755192506.0782769,T1_image,cycle_25_1755192506078,640x480,
1755192506.1114469,T1_image,cycle_26_1755192506111,640x480,
1755192506.1454563,T1_image,cycle_27_1755192506145,640x480,
1755192506.1790922,T1_image,cycle_28_1755192506179,640x480,
1755192506.211708,T1_image,cycle_29_1755192506211,640x480,
1755192506.2287753,T4a_wrist_tf,cycle_28_1755192506179,wrist,
1755192506.2498145,T1_image,cycle_30_1755192506249,640x480,
1755192506.2773879,T4a_wrist_tf,cycle_29_1755192506211,wrist,
1755192506.2890084,T1_image,cycle_31_1755192506288,640x480,
1755192506.3167992,T1_image,cycle_32_1755192506316,640x480,
1755192506.3177044,T4a_wrist_tf,cycle_30_1755192506249,wrist,
1755192506.350692,T4a_wrist_tf,cycle_31_1755192506288,wrist,
1755192506.355642,T1_image,cycle_33_1755192506355,640x480,
1755192506.3842876,T1_image,cycle_34_1755192506384,640x480,
1755192506.4006317,T4a_wrist_tf,cycle_32_1755192506316,wrist,
1755192506.4165037,T1_image,cycle_35_1755192506416,640x480,
1755192506.4263196,T4a_wrist_tf,cycle_33_1755192506355,wrist,
1755192506.4470127,T1_image,cycle_36_1755192506446,640x480,
1755192506.4538944,T4a_wrist_tf,cycle_34_1755192506384,wrist,
1755192506.476903,T4a_wrist_tf,cycle_35_1755192506416,wrist,
1755192506.4886763,T1_image,cycle_37_1755192506488,640x480,
1755192506.5094967,T4a_wrist_tf,cycle_36_1755192506446,wrist,
1755192506.5180578,T1_image,cycle_38_1755192506518,640x480,
1755192506.5349624,T4a_wrist_tf,cycle_37_1755192506488,wrist,
1755192506.5534623,T4a_wrist_tf,cycle_38_1755192506518,wrist,
1755192506.5575356,T1_image,cycle_39_1755192506557,640x480,
1755192506.5827222,T1_image,cycle_40_1755192506582,640x480,
1755192506.5934017,T4a_wrist_tf,cycle_39_1755192506557,wrist,
1755192506.6168892,T4a_wrist_tf,cycle_40_1755192506582,wrist,
1755192506.6208966,T1_image,cycle_41_1755192506620,640x480,
1755192506.6443515,T4a_wrist_tf,cycle_41_1755192506620,wrist,
1755192506.6496615,T1_image,cycle_42_1755192506649,640x480,
1755192506.674589,T4a_wrist_tf,cycle_42_1755192506649,wrist,
1755192506.683396,T1_image,cycle_43_1755192506683,640x480,
1755192506.710381,T4a_wrist_tf,cycle_43_1755192506683,wrist,
1755192506.714042,T1_image,cycle_44_1755192506714,640x480,
1755192506.7501798,T1_image,cycle_45_1755192506750,640x480,
1755192506.7607572,T4a_wrist_tf,cycle_44_1755192506714,wrist,
1755192506.796376,T4a_wrist_tf,cycle_45_1755192506750,wrist,
1755192506.810189,T1_image,cycle_46_1755192506810,640x480,
1755192506.8376176,T1_image,cycle_47_1755192506837,640x480,
1755192506.867512,T1_image,cycle_48_1755192506867,640x480,
1755192506.8760395,T4a_wrist_tf,cycle_46_1755192506810,wrist,
1755192506.884182,T1_image,cycle_49_1755192506883,640x480,
1755192506.916659,T1_image,cycle_50_1755192506916,640x480,
1755192506.9349332,T4a_wrist_tf,cycle_47_1755192506837,wrist,
1755192506.9558477,T1_image,cycle_51_1755192506955,640x480,
1755192506.9648378,T4a_wrist_tf,cycle_48_1755192506867,wrist,
1755192506.980979,T1_image,cycle_52_1755192506980,640x480,
1755192506.997243,T4a_wrist_tf,cycle_49_1755192506883,wrist,
1755192507.0152726,T1_image,cycle_53_1755192507015,640x480,
1755192507.0266707,T4a_wrist_tf,cycle_50_1755192506916,wrist,
1755192507.0568166,T1_image,cycle_54_1755192507056,640x480,
1755192507.05932,T4a_wrist_tf,cycle_51_1755192506955,wrist,
1755192507.0807214,T4a_wrist_tf,cycle_52_1755192506980,wrist,
1755192507.0898805,T1_image,cycle_55_1755192507089,640x480,
1755192507.1067321,T4a_wrist_tf,cycle_53_1755192507015,wrist,
1755192507.116554,T1_image,cycle_56_1755192507116,640x480,
1755192507.132702,T4a_wrist_tf,cycle_54_1755192507056,wrist,
1755192507.1615932,T4a_wrist_tf,cycle_55_1755192507089,wrist,
